#K short	G0205
#scanned warm
Wavelength (nm)	%T
2273	93.436
2274	93.485
2275	93.489
2276	93.49
2277	93.501
2278	93.524
2279	93.536
2280	93.522
2281	93.495
2282	93.489
2283	93.447
2284	93.363
2285	93.28
2286	93.155
2287	93.001
2288	92.793
2289	92.528
2290	92.226
2291	91.833
2292	91.369
2293	90.826
2294	90.156
2295	89.39
2296	88.492
2297	87.451
2298	86.276
2299	84.948
2300	83.465
2301	81.797
2302	79.99
2303	77.928
2304	75.743
2305	73.411
2306	70.87
2307	68.265
2308	65.441
2309	62.502
2310	59.562
2311	56.513
2312	53.442
2313	50.327
2314	47.273
2315	44.151
2316	41.167
2317	38.214
2318	35.417
2319	32.667
2320	30.059
2321	27.592
2322	25.173
2323	23.005
2324	20.968
2325	19.004
2326	17.249
2327	15.613
2328	14.071
2329	12.684
2330	11.439
2331	10.288
2332	9.2468
2333	8.3027
2334	7.4621
2335	6.6875
2336	5.9875
2337	5.3825
2338	4.8275
2339	4.3245
2340	3.8902
2341	3.4857
2342	3.1269
2343	2.8165
2344	2.5272
2345	2.2798
2346	2.0491
2347	1.8501
2348	1.6674
2349	1.5162
2350	1.3644
2351	1.2377
2352	1.1248
2353	1.0173
2354	0.93277
2355	0.84099
2356	0.76476
2357	0.70262
2358	0.6434
2359	0.58178
2360	0.53496
2361	0.48738
2362	0.44816
2363	0.41227
2364	0.37568
2365	0.35172
2366	0.31855
2367	0.29647
2368	0.27244
2369	0.25331
2370	0.23255
2371	0.2149
2372	0.20086
2373	0.18632
2374	0.17434
2375	0.16266
2376	0.15052
2377	0.14181
2378	0.13423
2379	0.12375
2380	0.11813
2381	0.11033
2382	0.10173
2383	0.094072
2384	0.090838
2385	0.091243
2386	0.082049
2387	0.077516
2388	0.076138
2389	0.067746
2390	0.062734
2391	0.060353
2392	0.057361
2393	0.062862
2394	0.047874
2395	0.052194
2396	0.051556
2397	0.041164
2398	0.045794
2399	0.042119
2400	0.04494
2401	0.044506
2402	0.042943
2403	0.037937
2404	0.029147
2405	0.034271
2406	0.031619
2407	0.039403
2408	0.027723
2409	0.025655
2410	0.030061
2411	0.029627
2412	0.026819
2413	0.026447
2414	0.023127
2415	0.025217
2416	0.02797
2417	0.02774
2418	0.024196
2419	0.023739
2420	0.026866
2421	0.026474
2422	0.02563
2423	0.022347
2424	0.025924
2425	0.020496
2426	0.027219
2427	0.018779
2428	0.022153
2429	0.015567
2430	0.016307
2431	0.017452
2432	0.018219
2433	0.026601
2434	0.014578
2435	0.019584
2436	0.015065
2437	0.021246
2438	0.012953
2439	0.020822
2440	0.014172
2441	0.019043
2442	0.016126
2443	0.019017
2444	0.012061
2445	0.013865
2446	0.013396
2447	0.011541
2448	0.022781
2449	0.0103
2450	0.018059
2451	0.019953
2452	0.015954
2453	0.016781
2454	0.013022
2455	0.017158
2456	0.016814
2457	0.011232
2458	0.012318
